vendor_id,pickup_date,day_num,day_name,avg_distance,avg_fare,avg_tip,sum_duration_minutes,avg_duration_minutes,avg_speed_kmh,sum_passenger,avg_passenger,total_trip,total_revenue,min_transaction,max_transaction,std_transaction,is_weekend
1,2016-05-24,2,Tuesday,4.06,12.03,1.7,236765.87,14.07,16.75,20266.0,1.2,16822,253972.9,3.8,70.01,9.89,0
2,2016-05-24,2,Tuesday,4.21,12.23,1.74,267737.73,14.25,17.26,37653.0,2.0,18791,288902.29,3.8,70.01,10.22,0
2,2016-05-25,3,Wednesday,4.23,12.39,1.76,286045.98,14.69,16.99,39430.0,2.02,19477,302958.47,3.3,70.01,10.36,0
1,2016-05-25,3,Wednesday,4.13,12.31,1.73,254579.07,14.6,16.59,21253.0,1.22,17438,268817.26,3.3,70.01,10.02,0
2,2016-05-27,5,Friday,4.32,12.15,1.59,254042.8,13.75,18.13,37101.0,2.01,18477,279897.44,3.8,70.34,10.39,0
1,2016-05-27,5,Friday,4.18,12.01,1.55,224417.42,13.62,17.6,21133.0,1.28,16482,246147.94,3.8,70.55,10.15,0
2,2016-05-30,1,Monday,5.36,12.57,1.56,155500.48,11.52,24.89,27279.0,2.02,13500,208370.01,3.8,70.34,12.37,0
1,2016-05-30,1,Monday,5.19,12.38,1.54,128640.3,11.39,24.08,15379.0,1.36,11298,171962.59,3.8,70.34,12.11,0
1,2016-06-05,7,Sunday,4.74,12.52,1.65,209162.53,13.31,20.29,20998.0,1.34,15720,242284.8,3.3,70.09,10.84,1
2,2016-06-05,7,Sunday,4.86,12.62,1.64,239962.53,13.35,20.77,36373.0,2.02,17972,278737.4,3.8,70.34,11.2,1
2,2016-06-07,2,Tuesday,4.23,12.36,1.73,279143.53,14.5,17.27,38387.0,1.99,19254,298610.78,3.8,70.61,10.32,0
1,2016-06-07,2,Tuesday,4.11,12.26,1.73,240991.1,14.43,16.74,20134.0,1.21,16701,256680.22,3.8,70.0,10.21,0
1,2016-06-12,7,Sunday,4.8,12.31,1.57,183252.57,12.59,21.21,19791.0,1.36,14557,220734.28,3.3,70.0,11.0,1
2,2016-06-12,7,Sunday,5.08,12.7,1.61,216602.12,12.89,21.95,34309.0,2.04,16805,262384.33,3.8,70.01,11.6,1
2,2016-06-22,3,Wednesday,4.23,12.33,1.75,273777.35,14.52,17.24,37929.0,2.01,18855,291632.43,3.3,70.34,10.37,0
1,2016-06-22,3,Wednesday,4.1,12.16,1.71,236738.75,14.35,16.81,20111.0,1.22,16501,251320.36,3.3,71.21,10.03,0
2,2016-06-24,5,Friday,4.45,12.56,1.72,278502.48,14.47,17.89,38487.0,2.0,19253,302437.19,3.8,70.01,10.79,0
1,2016-06-24,5,Friday,4.17,12.18,1.64,244499.03,14.12,17.26,22143.0,1.28,17317,263321.97,3.8,70.34,10.05,0
2,2016-06-30,4,Thursday,4.28,12.5,1.73,268506.35,14.83,17.18,36226.0,2.0,18107,282907.21,3.8,71.81,10.58,0
1,2016-06-30,4,Thursday,4.16,12.38,1.71,229961.32,14.66,16.82,19010.0,1.21,15685,242211.18,3.8,70.01,10.45,0
2,2016-01-06,3,Wednesday,4.24,11.47,1.59,219712.53,12.27,19.33,36751.0,2.05,17909,258695.72,3.8,70.01,10.15,0
1,2016-01-06,3,Wednesday,4.01,11.14,1.54,186781.43,11.99,18.67,18467.0,1.19,15579,218408.18,3.3,70.0,9.62,0
1,2016-01-08,5,Friday,4.0,11.3,1.57,215830.7,12.38,18.14,21467.0,1.23,17429,248017.2,3.3,70.01,9.45,0
2,2016-01-08,5,Friday,4.19,11.52,1.6,250415.02,12.54,18.65,41024.0,2.05,19968,289512.49,3.8,70.34,10.12,0
2,2016-01-14,4,Thursday,4.27,11.75,1.75,263374.8,12.87,18.67,41557.0,2.03,20459,305205.7,3.8,70.34,10.46,0
1,2016-01-14,4,Thursday,4.12,11.59,1.71,226673.18,12.77,18.05,21001.0,1.18,17753,260854.48,3.3,70.34,10.12,0
2,2016-01-23,6,Saturday,4.33,11.42,1.57,53648.77,13.51,18.26,8067.0,2.03,3972,56520.73,3.8,70.01,8.72,1
1,2016-01-23,6,Saturday,4.21,11.28,1.61,45948.33,13.27,17.97,4505.0,1.3,3463,48867.76,3.8,69.99,8.45,1
1,2016-01-24,7,Sunday,4.2,11.26,1.5,72237.8,12.07,18.91,7913.0,1.32,5984,83314.34,3.8,70.34,10.07,1
2,2016-01-24,7,Sunday,4.28,11.35,1.47,114229.77,12.16,19.26,19330.0,2.06,9396,130794.78,3.8,70.34,10.32,1
1,2016-01-28,4,Thursday,4.08,12.12,1.77,249575.63,14.32,16.36,20535.0,1.18,17433,266168.29,3.3,70.01,9.88,0
2,2016-01-28,4,Thursday,4.3,12.41,1.83,288586.93,14.57,16.92,40645.0,2.05,19813,310331.74,3.8,70.01,10.58,0
2,2016-01-29,5,Friday,4.12,11.94,1.7,294589.7,13.88,16.97,42698.0,2.01,21227,319184.58,3.8,70.61,10.0,0
1,2016-01-29,5,Friday,4.04,11.87,1.69,253474.07,13.77,16.65,22589.0,1.23,18410,274919.44,3.8,70.34,9.91,0
1,2016-02-02,2,Tuesday,3.97,11.42,1.67,206856.42,12.75,17.73,18874.0,1.16,16225,234765.84,3.3,70.59,9.76,0
2,2016-02-02,2,Tuesday,4.12,11.6,1.74,243317.82,12.96,18.23,37955.0,2.02,18772,276263.27,3.8,70.34,9.93,0
2,2016-02-03,3,Wednesday,3.99,11.55,1.73,252303.23,13.29,17.44,38352.0,2.02,18984,277872.62,3.3,70.01,9.76,0
1,2016-02-03,3,Wednesday,3.94,11.61,1.73,223830.63,13.43,16.99,19519.0,1.17,16668,244730.18,3.3,70.01,9.65,0
2,2016-02-05,5,Friday,4.09,11.31,1.62,260955.48,12.39,18.57,42370.0,2.01,21063,301613.61,3.8,70.01,9.63,0
1,2016-02-05,5,Friday,3.89,11.06,1.59,219030.63,12.2,17.92,22012.0,1.23,17955,251479.26,3.3,70.34,9.19,0
2,2016-02-10,3,Wednesday,4.09,11.41,1.7,256810.9,12.62,18.39,41117.0,2.02,20349,295295.84,3.8,70.01,9.84,0
1,2016-02-10,3,Wednesday,3.96,11.26,1.65,218762.83,12.5,17.83,20614.0,1.18,17506,250178.65,3.3,70.01,9.64,0
2,2016-02-14,7,Sunday,4.22,11.24,1.46,243534.85,11.6,20.64,42881.0,2.04,20988,290458.51,3.0,70.01,9.62,1
1,2016-02-14,7,Sunday,4.15,11.22,1.46,202579.92,11.62,20.11,24054.0,1.38,17436,241287.22,3.3,70.34,9.51,1
2,2016-02-16,2,Tuesday,4.35,11.94,1.73,248172.75,13.21,18.69,37874.0,2.02,18785,283285.54,3.8,70.61,10.72,0
1,2016-02-16,2,Tuesday,4.09,11.6,1.65,206437.58,12.99,17.91,19106.0,1.2,15893,232058.49,3.3,70.34,10.03,0
1,2016-02-22,1,Monday,4.27,11.5,1.65,188061.68,12.1,19.48,18396.0,1.18,15539,226077.47,3.3,70.59,10.4,0
2,2016-02-22,1,Monday,4.44,11.69,1.7,216895.08,12.27,20.09,35526.0,2.01,17679,262306.99,3.8,70.61,10.73,0
2,2016-02-28,7,Sunday,4.86,12.13,1.62,229177.25,12.14,22.23,38178.0,2.02,18876,283419.35,3.8,70.34,10.93,1
1,2016-02-28,7,Sunday,4.76,12.06,1.6,194829.72,12.15,21.67,21335.0,1.33,16035,239391.94,3.3,70.34,10.65,1
