vendor_id,pickup_date,pickup_hour,day_name,is_weekend,day_num,avg_distance,avg_fare,avg_tip,avg_duration_minutes,avg_speed_kmh,sum_passenger,avg_passenger,total_trip,total_revenue,min_transaction,max_transaction,std_transaction
1,2016-01-01,2,Friday,0,5,5.15,12.86,1.52,13.3,21.91,1745,1.5,1163,18347.77,3.8,57.99,8.94
1,2016-01-01,4,Friday,0,5,5.78,13.6,1.26,12.86,25.42,906,1.44,629,10228.3,4.3,70.0,10.04
2,2016-01-01,5,Friday,0,5,6.57,14.42,1.02,12.53,28.99,873,2.05,426,7192.18,4.3,63.36,10.95
2,2016-01-01,6,Friday,0,5,6.44,13.9,1.23,11.31,30.52,734,2.06,357,5787.22,3.8,60.34,11.6
2,2016-01-01,7,Friday,0,5,6.4,13.94,1.18,11.03,31.07,554,1.94,285,4670.06,3.3,68.34,12.93
2,2016-01-01,8,Friday,0,5,5.72,12.6,1.34,9.98,30.9,595,2.09,285,4296.85,3.8,70.01,11.6
1,2016-01-01,9,Friday,0,5,5.8,12.82,1.23,10.1,30.05,295,1.43,206,3158.09,3.3,58.34,11.69
2,2016-01-01,11,Friday,0,5,4.57,10.9,1.18,9.36,27.05,1453,2.13,683,8953.01,3.8,65.0,9.07
2,2016-01-01,18,Friday,0,5,4.27,11.21,1.23,11.31,21.15,1900,1.99,955,12858.23,3.8,70.01,9.91
2,2016-01-01,20,Friday,0,5,4.37,11.03,1.2,10.47,22.62,1400,1.97,712,9757.16,4.3,70.01,9.99
1,2016-01-01,21,Friday,0,5,4.05,10.55,1.29,10.16,21.92,787,1.5,523,6927.53,4.8,70.0,8.24
2,2016-01-02,0,Saturday,1,6,4.6,11.06,1.37,9.93,25.14,1267,1.97,643,8907.73,4.3,70.01,10.05
1,2016-01-02,1,Saturday,1,6,4.66,11.04,1.33,9.7,26.64,503,1.37,368,5043.52,4.8,70.0,8.28
1,2016-01-02,3,Saturday,1,6,5.24,12.26,1.48,10.47,27.55,402,1.51,267,4045.99,4.3,69.99,10.65
1,2016-01-02,10,Saturday,1,6,4.74,11.47,1.24,9.69,25.18,699,1.37,512,7058.7,4.3,70.0,11.87
2,2016-01-02,12,Saturday,1,6,4.2,10.83,1.27,10.36,22.12,1984,2.05,966,12658.42,3.8,70.01,10.2
1,2016-01-02,13,Saturday,1,6,4.02,11.04,1.13,11.33,19.78,1052,1.46,723,9466.01,3.8,69.99,9.42
1,2016-01-02,14,Saturday,1,6,4.65,12.05,1.2,12.27,20.33,1108,1.48,749,10729.87,3.8,69.99,11.18
1,2016-01-02,15,Saturday,1,6,4.1,11.28,1.15,11.75,18.94,1247,1.51,825,11092.28,3.8,69.99,10.09
1,2016-01-02,16,Saturday,1,6,3.99,11.17,1.21,12.19,18.19,1123,1.46,767,10384.37,4.3,69.99,9.75
2,2016-01-02,17,Saturday,1,6,4.36,11.99,1.36,13.41,18.48,1919,1.94,989,14230.71,4.3,70.01,10.88
2,2016-01-02,19,Saturday,1,6,3.93,11.35,1.33,12.87,17.79,2244,1.99,1125,15289.54,3.8,70.01,9.43
2,2016-01-02,22,Saturday,1,6,4.21,11.14,1.39,11.61,20.32,2024,2.06,982,13739.26,4.3,68.34,8.89
2,2016-01-02,23,Saturday,1,6,4.45,11.32,1.56,11.34,21.69,2130,2.02,1055,15123.65,4.3,70.01,9.35
1,2016-01-03,2,Sunday,1,7,4.94,11.77,1.48,10.81,25.16,900,1.41,639,9329.75,4.8,69.99,8.43
1,2016-01-03,4,Sunday,1,7,6.15,13.64,1.32,11.62,28.88,501,1.44,348,5712.78,4.8,59.84,10.13
2,2016-01-03,5,Sunday,1,7,9.02,18.47,2.12,13.63,34.98,277,2.01,138,3079.78,4.8,68.34,17.2
2,2016-01-03,6,Sunday,1,7,8.04,16.28,1.83,11.57,36.13,287,2.05,140,2713.33,4.3,70.01,16.64
2,2016-01-03,7,Sunday,1,7,7.53,15.4,1.92,11.27,34.79,408,1.98,206,3847.4,4.3,70.34,16.35
2,2016-01-03,8,Sunday,1,7,5.92,12.94,1.56,9.96,30.39,602,2.09,288,4517.82,4.3,70.01,14.09
1,2016-01-03,9,Sunday,1,7,4.89,11.49,1.45,9.14,27.71,564,1.29,436,6136.01,3.3,69.99,11.78
2,2016-01-03,11,Sunday,1,7,4.31,10.85,1.26,10.01,23.25,1588,2.01,791,10399.28,3.8,70.01,10.37
2,2016-01-03,18,Sunday,1,7,4.72,12.08,1.51,12.64,20.46,1734,1.92,904,13243.91,3.8,70.01,11.47
2,2016-01-03,20,Sunday,1,7,5.23,12.32,1.6,11.36,24.47,1376,2.05,672,10449.0,4.3,70.01,11.96
1,2016-01-03,21,Sunday,1,7,5.16,12.15,1.67,10.92,24.96,675,1.3,521,8061.31,4.8,70.0,11.4
2,2016-01-04,1,Monday,0,1,6.78,14.36,1.74,11.47,31.41,330,1.99,166,2913.5,4.8,70.01,13.37
2,2016-01-04,3,Monday,0,1,6.32,13.95,1.43,11.82,29.36,88,1.69,52,883.13,5.8,58.34,11.75
1,2016-01-04,5,Monday,0,1,5.7,13.01,1.65,9.69,29.79,181,1.1,165,2734.24,4.8,69.99,14.19
1,2016-01-04,6,Monday,0,1,4.15,10.16,1.51,9.09,25.32,498,1.07,464,5884.08,3.8,69.99,10.07
1,2016-01-04,7,Monday,0,1,3.76,10.22,1.35,10.58,20.39,866,1.12,771,9648.56,3.8,69.99,8.24
1,2016-01-04,8,Monday,0,1,3.69,10.73,1.47,11.82,17.1,1037,1.12,926,12220.3,3.8,69.99,9.56
2,2016-01-04,10,Monday,0,1,4.91,12.66,1.63,13.07,19.57,1611,2.15,751,11671.33,3.8,70.01,12.8
1,2016-01-04,11,Monday,0,1,3.9,10.92,1.3,11.44,18.25,711,1.21,589,7823.59,4.3,70.0,10.39
2,2016-01-04,13,Monday,0,1,3.88,10.63,1.14,11.04,19.17,1377,1.98,696,8879.81,3.8,63.34,9.24
2,2016-01-04,14,Monday,0,1,4.5,11.78,1.26,12.29,18.89,1786,2.19,817,11589.69,3.8,70.01,12.3
2,2016-01-04,15,Monday,0,1,4.17,11.36,1.4,12.24,17.97,1786,2.13,839,11596.47,3.8,70.01,11.75
2,2016-01-04,16,Monday,0,1,4.02,10.83,1.41,11.45,18.98,1804,2.08,868,12425.82,4.8,70.01,11.46
1,2016-01-04,18,Monday,0,1,3.54,10.01,1.43,10.89,18.02,1230,1.21,1013,13526.13,4.8,66.34,8.36
1,2016-01-04,20,Monday,0,1,4.47,10.98,1.64,10.19,23.27,1028,1.24,828,11729.72,4.8,64.34,9.91
2,2016-01-05,0,Tuesday,0,2,6.14,13.44,1.61,11.0,29.32,671,2.05,327,5435.85,4.3,70.01,13.02
1,2016-01-05,1,Tuesday,0,2,6.57,14.06,1.64,11.39,30.99,238,1.29,185,3177.07,4.8,69.99,11.87
1,2016-01-05,3,Tuesday,0,2,5.23,12.05,1.16,10.12,27.67,118,1.23,96,1408.82,4.3,52.8,9.41
1,2016-01-05,10,Tuesday,0,2,3.63,10.91,1.41,12.47,16.2,857,1.15,745,9953.29,3.8,69.99,9.42
2,2016-01-05,12,Tuesday,0,2,3.58,10.77,1.36,12.24,16.0,1750,2.12,826,10862.21,3.8,70.01,9.75
1,2016-01-05,13,Tuesday,0,2,3.96,11.41,1.38,12.43,16.76,822,1.2,685,9477.82,3.8,70.34,10.93
1,2016-01-05,14,Tuesday,0,2,3.74,11.01,1.29,12.36,16.14,1074,1.25,856,11412.62,3.3,69.99,10.08
1,2016-01-05,15,Tuesday,0,2,3.98,11.44,1.46,13.01,16.29,1070,1.25,856,12044.73,3.8,70.34,11.03
1,2016-01-05,16,Tuesday,0,2,3.78,10.87,1.45,12.24,16.93,930,1.24,749,10736.47,4.3,70.0,10.62
2,2016-01-05,17,Tuesday,0,2,3.99,11.29,1.6,12.95,17.01,1974,1.97,1000,14924.83,5.3,70.01,10.27
2,2016-01-05,19,Tuesday,0,2,3.99,10.61,1.66,11.04,20.0,2094,1.94,1079,15373.28,5.3,70.01,9.07
2,2016-01-05,22,Tuesday,0,2,5.13,12.21,1.74,11.5,24.46,1638,1.95,838,12888.34,4.3,70.01,9.82
2,2016-01-05,23,Tuesday,0,2,5.48,12.55,1.7,11.26,26.46,1201,2.0,601,9464.72,4.3,63.36,10.29
1,2016-01-06,2,Wednesday,0,3,5.25,11.99,1.2,10.1,27.87,176,1.3,135,1961.18,4.8,62.8,10.2
1,2016-01-06,4,Wednesday,0,3,6.35,14.39,1.27,11.67,29.75,115,1.13,102,1745.38,5.3,66.34,12.3
2,2016-01-06,5,Wednesday,0,3,5.85,12.64,1.69,9.97,32.74,338,2.17,156,2505.44,3.8,70.01,13.19
2,2016-01-06,6,Wednesday,0,3,4.21,10.19,1.42,9.14,25.56,759,1.85,411,5182.67,3.8,68.34,9.99
2,2016-01-06,7,Wednesday,0,3,3.99,10.76,1.49,11.23,20.32,1771,2.08,853,11303.11,3.8,70.01,9.49
2,2016-01-06,8,Wednesday,0,3,3.53,10.78,1.54,12.6,16.4,2200,2.03,1084,14384.18,3.8,70.01,8.86
1,2016-01-06,9,Wednesday,0,3,3.36,10.57,1.54,12.26,15.24,899,1.09,822,10716.42,4.3,70.0,8.81
2,2016-01-06,11,Wednesday,0,3,3.85,11.46,1.49,13.14,16.12,1716,1.97,871,12133.68,3.8,70.01,9.9
2,2016-01-06,18,Wednesday,0,3,4.04,11.35,1.68,12.91,17.29,2452,2.01,1217,18312.98,4.8,70.01,10.32
2,2016-01-06,20,Wednesday,0,3,4.5,11.27,1.78,11.14,22.01,2478,2.05,1211,17624.32,4.3,70.01,9.75
1,2016-01-06,21,Wednesday,0,3,4.64,11.71,1.76,11.76,21.6,1104,1.21,910,13594.15,3.3,69.99,9.59
2,2016-01-07,1,Thursday,0,4,5.41,12.25,1.4,10.76,28.17,575,2.2,261,3911.88,4.3,66.34,8.64
2,2016-01-07,3,Thursday,0,4,5.34,12.04,1.25,10.23,29.22,209,2.13,98,1440.07,4.3,58.34,9.89
1,2016-01-07,5,Thursday,0,4,4.81,10.99,1.41,8.73,28.98,157,1.09,144,2011.92,3.8,69.99,12.25
1,2016-01-07,6,Thursday,0,4,4.04,10.05,1.38,9.14,24.42,502,1.05,477,5916.27,3.8,63.35,9.66
1,2016-01-07,7,Thursday,0,4,3.61,10.25,1.39,10.97,18.87,941,1.11,844,10590.41,3.8,69.99,8.08
1,2016-01-07,8,Thursday,0,4,3.43,10.88,1.54,12.95,15.25,1076,1.16,926,12347.53,3.3,69.99,8.27
2,2016-01-07,10,Thursday,0,4,3.78,11.33,1.59,13.19,16.28,1839,2.15,856,11905.92,3.8,70.01,9.36
1,2016-01-07,11,Thursday,0,4,3.85,11.5,1.59,13.15,16.34,946,1.19,793,11196.7,3.8,70.0,9.72
2,2016-01-07,13,Thursday,0,4,3.91,11.32,1.46,12.74,16.64,1757,2.07,850,11724.87,3.8,70.01,9.74
2,2016-01-07,14,Thursday,0,4,4.19,11.94,1.55,13.55,16.6,2050,2.12,966,14156.24,3.8,70.01,11.03
2,2016-01-07,15,Thursday,0,4,3.94,11.65,1.48,13.47,15.6,1894,2.06,919,13080.57,3.8,70.34,11.18
2,2016-01-07,16,Thursday,0,4,3.92,11.3,1.68,12.94,16.62,1592,1.99,800,12047.1,5.3,70.01,11.03
1,2016-01-07,18,Thursday,0,4,3.68,11.08,1.69,13.01,15.78,1291,1.19,1081,15925.83,4.8,69.99,9.29
1,2016-01-07,20,Thursday,0,4,4.22,11.2,1.74,11.78,19.96,1211,1.25,971,13991.04,3.8,69.99,9.05
2,2016-01-08,1,Friday,0,5,5.06,11.89,1.64,10.99,26.16,795,2.08,382,5690.81,4.3,68.34,9.13
2,2016-01-08,3,Friday,0,5,5.92,13.14,1.16,11.25,29.02,355,2.26,157,2462.16,4.8,63.36,9.77
1,2016-01-08,5,Friday,0,5,6.07,13.31,1.79,10.18,30.61,178,1.12,159,2666.87,4.3,70.0,14.37
1,2016-01-08,6,Friday,0,5,4.02,10.32,1.42,9.11,24.54,453,1.06,426,5415.33,4.3,69.99,10.31
1,2016-01-08,7,Friday,0,5,3.73,10.41,1.44,10.96,19.34,884,1.11,797,10176.58,4.3,69.99,8.95
1,2016-01-08,8,Friday,0,5,3.54,11.04,1.61,13.04,15.45,1048,1.14,918,12444.13,4.3,58.34,8.44
2,2016-01-08,10,Friday,0,5,3.65,11.16,1.46,13.02,15.89,1849,2.05,900,12222.64,3.8,70.01,8.99
1,2016-01-08,11,Friday,0,5,3.54,11.1,1.48,13.01,15.24,932,1.2,775,10520.72,3.3,64.34,8.85
2,2016-01-08,13,Friday,0,5,4.4,12.13,1.59,13.09,17.46,2013,2.17,927,13740.06,3.8,70.01,12.39
2,2016-01-08,14,Friday,0,5,4.19,11.87,1.47,13.52,16.8,2068,2.12,977,14110.74,3.8,70.01,11.25
2,2016-01-08,15,Friday,0,5,4.04,11.68,1.56,13.55,16.22,1997,2.08,958,13795.04,3.8,70.01,11.2
2,2016-01-08,16,Friday,0,5,4.28,11.76,1.58,13.07,17.86,1697,2.04,831,12832.05,4.8,70.01,11.15
1,2016-01-08,18,Friday,0,5,3.59,10.64,1.56,12.25,16.31,1398,1.23,1133,15998.28,4.55,69.99,8.31
1,2016-01-08,20,Friday,0,5,4.22,11.49,1.71,12.36,19.23,1251,1.25,1002,14689.77,4.3,70.01,9.56
2,2016-01-09,0,Saturday,1,6,4.6,11.84,1.68,12.45,20.94,2245,2.04,1101,16375.92,4.3,68.34,8.92
1,2016-01-09,1,Saturday,1,6,4.75,11.82,1.67,11.75,22.53,1085,1.37,791,11738.85,4.3,57.25,8.34
1,2016-01-09,3,Saturday,1,6,4.94,11.95,1.55,11.32,24.75,644,1.34,480,7127.56,4.3,57.84,8.06
1,2016-01-09,10,Saturday,1,6,3.66,9.91,1.26,9.5,21.34,837,1.2,695,8412.05,3.8,69.99,8.61
2,2016-01-09,12,Saturday,1,6,3.49,10.14,1.3,10.96,18.42,2470,2.06,1201,14864.77,3.8,70.01,8.25
1,2016-01-09,13,Saturday,1,6,3.53,10.35,1.34,11.18,17.69,1167,1.31,890,11228.19,3.8,69.99,8.94
1,2016-01-09,14,Saturday,1,6,3.57,10.56,1.32,11.55,17.44,1119,1.33,843,10790.73,3.8,69.99,8.44
1,2016-01-09,15,Saturday,1,6,3.84,11.06,1.37,12.1,17.8,1258,1.34,939,12574.21,3.8,70.0,9.16
1,2016-01-09,16,Saturday,1,6,3.64,10.49,1.27,11.63,17.54,1255,1.37,915,11729.91,3.8,70.0,8.54
2,2016-01-09,17,Saturday,1,6,3.96,11.12,1.42,12.44,17.58,2197,1.98,1109,14992.33,3.3,70.01,10.26
2,2016-01-09,19,Saturday,1,6,3.72,10.93,1.49,12.32,17.27,2545,2.0,1275,17016.19,3.8,70.01,9.24
2,2016-01-09,22,Saturday,1,6,4.07,11.23,1.53,12.41,18.99,2203,1.98,1110,15692.1,4.3,70.01,7.75
2,2016-01-09,23,Saturday,1,6,4.32,11.51,1.58,12.34,20.1,2519,2.06,1224,17700.85,4.3,70.01,8.63
1,2016-01-10,2,Sunday,1,7,4.7,11.56,1.57,11.24,23.68,1123,1.38,816,11811.22,4.3,54.3,7.77
1,2016-01-10,4,Sunday,1,7,5.12,12.17,1.31,11.42,24.39,419,1.21,347,5160.84,4.8,63.36,9.66
2,2016-01-10,5,Sunday,1,7,6.27,13.69,1.31,11.78,28.64,310,2.17,143,2367.07,4.3,70.01,12.24
2,2016-01-10,7,Sunday,1,7,6.02,13.37,1.7,11.13,28.15,514,2.09,246,4019.61,4.3,70.34,14.12
2,2016-01-10,8,Sunday,1,7,4.51,10.94,1.45,9.31,25.98,712,1.82,391,5265.22,3.8,65.34,10.84
1,2016-01-10,9,Sunday,1,7,3.95,9.99,1.3,8.72,24.41,707,1.26,561,6873.41,3.8,69.99,9.6
2,2016-01-10,11,Sunday,1,7,4.08,10.5,1.42,10.27,22.0,2046,2.0,1023,13240.57,3.8,70.01,9.35
2,2016-01-10,18,Sunday,1,7,4.77,11.84,1.66,11.94,21.35,1958,1.97,996,14566.85,3.8,70.01,11.62
2,2016-01-10,20,Sunday,1,7,5.17,12.15,1.82,10.91,24.56,1557,2.08,749,11746.16,4.3,70.01,13.0
1,2016-01-10,21,Sunday,1,7,5.04,11.93,1.57,10.82,24.65,746,1.27,588,8901.89,4.3,68.34,10.77
2,2016-01-11,0,Monday,0,1,7.01,14.79,1.83,11.91,31.24,644,2.03,318,5784.55,4.3,70.01,13.06
1,2016-01-11,1,Monday,0,1,6.26,13.62,1.59,11.0,30.33,246,1.24,198,3311.97,4.3,69.99,11.9
1,2016-01-11,3,Monday,0,1,6.08,13.54,1.36,11.73,29.17,123,1.6,77,1258.26,4.3,65.16,10.84
1,2016-01-11,10,Monday,0,1,3.79,11.45,1.62,13.25,15.7,846,1.13,746,10569.46,4.3,69.99,10.79
2,2016-01-11,12,Monday,0,1,4.39,12.43,1.58,13.68,16.98,1747,2.01,871,13225.72,3.8,70.01,12.37
1,2016-01-11,13,Monday,0,1,3.92,11.42,1.52,12.67,16.41,876,1.22,717,10033.68,3.8,69.99,10.79
1,2016-01-11,14,Monday,0,1,4.0,11.61,1.52,13.14,16.02,1008,1.23,819,11652.06,4.3,70.0,11.01
1,2016-01-11,15,Monday,0,1,3.81,11.18,1.37,12.82,15.9,1013,1.25,809,11069.97,3.8,69.99,10.72
1,2016-01-11,16,Monday,0,1,3.51,10.62,1.5,12.4,16.12,893,1.25,716,10100.66,4.3,69.99,9.35
2,2016-01-11,17,Monday,0,1,3.77,10.81,1.56,12.43,17.01,2159,1.98,1089,15666.73,4.8,70.01,9.77
2,2016-01-11,19,Monday,0,1,3.85,10.32,1.71,10.64,19.96,2608,2.02,1291,18047.74,4.8,70.01,8.87
2,2016-01-11,22,Monday,0,1,4.59,11.14,1.81,10.22,24.65,1683,2.02,835,12051.52,4.3,70.01,9.98
2,2016-01-11,23,Monday,0,1,5.57,12.73,1.92,11.04,27.1,1178,2.07,568,9192.07,4.8,70.01,11.45
2,2016-01-12,0,Tuesday,0,2,5.54,12.34,1.76,10.49,28.33,842,1.98,426,6628.53,4.3,70.01,11.23
1,2016-01-12,1,Tuesday,0,2,5.49,12.47,1.74,10.71,27.45,242,1.2,201,3130.78,4.8,62.8,10.29
1,2016-01-12,3,Tuesday,0,2,6.22,13.68,1.3,11.67,30.14,109,1.17,93,1518.2,4.8,47.15,9.6
1,2016-01-12,10,Tuesday,0,2,3.8,11.48,1.6,13.25,15.63,884,1.12,786,11088.68,3.3,69.99,10.44
2,2016-01-12,12,Tuesday,0,2,3.81,11.32,1.61,12.85,16.18,1921,2.17,885,12393.93,3.8,70.01,10.21
1,2016-01-12,13,Tuesday,0,2,3.85,11.35,1.48,13.04,15.89,865,1.18,732,10158.82,3.3,70.0,10.11
1,2016-01-12,14,Tuesday,0,2,3.62,11.06,1.53,12.93,15.28,970,1.17,827,11249.2,3.8,69.99,9.65
1,2016-01-12,15,Tuesday,0,2,3.85,11.37,1.57,13.02,15.73,1063,1.24,855,12068.2,4.3,70.0,10.59
1,2016-01-12,16,Tuesday,0,2,3.6,10.84,1.63,12.83,15.4,918,1.21,756,10960.36,4.8,70.0,10.29
2,2016-01-12,17,Tuesday,0,2,3.51,10.59,1.65,12.5,15.79,1909,1.95,979,13897.07,4.8,70.01,9.58
2,2016-01-12,19,Tuesday,0,2,4.02,10.92,1.84,11.77,19.19,2512,2.07,1216,17912.24,4.8,70.01,8.64
2,2016-01-12,22,Tuesday,0,2,4.81,11.81,1.9,11.43,23.64,2252,2.02,1116,16888.51,4.3,70.01,9.34
2,2016-01-12,23,Tuesday,0,2,5.07,11.97,1.77,11.04,25.04,1592,2.08,764,11613.26,4.8,70.01,10.0
2,2016-01-13,1,Wednesday,0,3,5.01,11.56,1.56,10.31,27.92,536,2.19,245,3544.49,4.8,49.3,7.59
2,2016-01-13,3,Wednesday,0,3,6.07,13.31,1.33,11.43,29.37,191,1.95,98,1592.22,4.3,62.21,9.45
1,2016-01-13,5,Wednesday,0,3,5.34,11.81,1.45,8.96,30.33,198,1.09,182,2688.94,4.8,69.99,12.95
1,2016-01-13,6,Wednesday,0,3,3.85,9.72,1.39,8.66,24.48,560,1.05,535,6486.48,4.3,69.99,9.42
1,2016-01-13,7,Wednesday,0,3,3.53,10.16,1.53,10.78,18.62,1027,1.11,925,11701.97,3.8,69.99,8.95
1,2016-01-13,8,Wednesday,0,3,3.3,10.73,1.63,12.89,14.68,1136,1.14,997,13240.87,3.8,66.39,8.58
2,2016-01-13,10,Wednesday,0,3,3.73,11.34,1.68,13.42,15.46,2089,2.06,1015,14266.15,3.8,70.01,9.79
1,2016-01-13,11,Wednesday,0,3,3.37,11.0,1.53,13.31,14.33,985,1.18,835,11291.76,3.8,70.34,8.98
2,2016-01-13,13,Wednesday,0,3,3.77,11.55,1.59,13.73,15.3,2019,2.09,967,13732.52,3.8,70.01,10.33
2,2016-01-13,14,Wednesday,0,3,3.93,11.66,1.67,13.73,15.42,1995,2.03,981,14126.56,3.8,70.01,11.12
2,2016-01-13,15,Wednesday,0,3,3.76,11.29,1.64,13.54,15.42,2094,2.05,1019,14282.44,3.8,70.01,10.66
2,2016-01-13,16,Wednesday,0,3,3.56,10.58,1.65,12.47,16.25,1752,2.05,856,12214.1,4.3,70.01,9.73
1,2016-01-13,18,Wednesday,0,3,3.32,10.19,1.71,11.92,15.63,1419,1.22,1159,16046.05,4.8,69.99,8.15
1,2016-01-13,20,Wednesday,0,3,4.13,10.91,1.81,11.2,20.12,1390,1.21,1149,16311.02,4.3,69.99,9.24
2,2016-01-14,0,Thursday,0,4,5.28,12.26,1.73,11.19,26.01,1103,2.1,524,8075.52,4.3,70.01,10.67
1,2016-01-14,1,Thursday,0,4,5.28,12.22,1.68,11.12,26.47,329,1.19,276,4217.63,4.8,64.59,8.81
1,2016-01-14,3,Thursday,0,4,6.19,14.01,1.23,11.74,30.05,148,1.24,119,1983.24,3.8,58.34,10.38
1,2016-01-14,10,Thursday,0,4,3.56,11.47,1.6,13.66,14.68,918,1.11,830,11706.86,3.3,69.99,10.07
2,2016-01-14,12,Thursday,0,4,3.74,11.44,1.54,13.39,15.32,2118,2.07,1024,14423.15,3.8,70.01,10.32
1,2016-01-14,13,Thursday,0,4,3.82,11.56,1.68,13.35,15.65,1061,1.18,901,12862.54,3.8,70.0,10.31
1,2016-01-14,14,Thursday,0,4,4.14,12.13,1.63,13.97,15.59,1125,1.21,932,13905.7,3.8,70.34,11.63
1,2016-01-14,15,Thursday,0,4,3.83,11.44,1.63,13.29,15.33,1173,1.24,943,13419.86,3.8,70.01,11.5
1,2016-01-14,16,Thursday,0,4,3.86,11.58,1.74,13.58,15.92,969,1.22,792,12223.47,4.8,69.99,10.81
2,2016-01-14,17,Thursday,0,4,3.73,11.18,1.74,13.31,15.93,2174,1.97,1101,16484.99,4.8,70.01,10.34
2,2016-01-14,19,Thursday,0,4,4.02,11.2,1.72,12.35,18.07,2712,1.99,1360,20272.15,4.3,70.01,9.68
2,2016-01-14,22,Thursday,0,4,4.81,12.03,1.97,12.18,22.24,2629,2.12,1242,19201.6,4.8,70.01,9.69
2,2016-01-14,23,Thursday,0,4,5.61,13.17,2.03,12.55,24.54,2027,2.05,989,16544.21,4.3,70.01,11.08
2,2016-01-15,0,Friday,0,5,5.56,13.07,1.79,12.55,24.73,1367,2.1,650,10579.67,4.3,67.09,10.42
1,2016-01-15,1,Friday,0,5,5.34,12.32,1.82,11.11,26.44,484,1.27,382,5926.83,4.3,69.99,9.62
1,2016-01-15,3,Friday,0,5,5.78,12.99,1.59,11.02,28.03,237,1.27,187,2975.23,4.3,63.34,10.63
1,2016-01-15,10,Friday,0,5,3.96,11.98,1.67,13.95,15.9,851,1.12,761,11176.91,3.8,70.0,10.31
2,2016-01-15,12,Friday,0,5,4.23,11.98,1.63,13.32,17.08,1996,2.08,961,14237.9,3.8,70.01,11.68
1,2016-01-15,13,Friday,0,5,4.35,12.04,1.68,13.2,17.15,1009,1.21,835,12446.78,3.3,70.0,12.18
1,2016-01-15,14,Friday,0,5,4.05,11.87,1.6,13.89,15.62,1147,1.19,964,14035.91,3.8,69.99,11.04
1,2016-01-15,15,Friday,0,5,3.75,11.41,1.48,13.86,14.98,1079,1.21,890,12513.35,3.8,61.0,10.31
1,2016-01-15,16,Friday,0,5,3.84,11.54,1.56,13.59,15.99,948,1.21,782,11787.58,3.8,68.34,10.55
2,2016-01-15,17,Friday,0,5,4.02,11.73,1.81,14.1,16.27,2088,1.98,1057,16481.62,4.8,70.01,10.64
2,2016-01-15,19,Friday,0,5,3.99,11.35,1.7,12.93,17.27,2780,2.04,1362,20426.75,4.8,70.01,9.32
2,2016-01-15,22,Friday,0,5,4.77,12.47,1.85,13.31,19.93,2465,2.02,1220,19280.01,4.3,70.01,10.53
2,2016-01-15,23,Friday,0,5,4.9,12.72,1.83,13.48,20.48,2410,2.01,1197,19180.98,4.3,70.01,10.01
2,2016-01-16,0,Saturday,1,6,5.07,12.74,1.7,13.33,21.98,2338,2.08,1125,17825.46,4.8,70.01,9.3
1,2016-01-16,1,Saturday,1,6,4.65,11.82,1.72,12.18,21.24,1196,1.36,877,13067.47,4.3,56.75,8.89
1,2016-01-16,3,Saturday,1,6,5.21,12.62,1.57,12.33,23.5,677,1.35,501,7788.28,4.8,56.79,9.02
1,2016-01-16,10,Saturday,1,6,3.76,10.19,1.35,9.79,21.12,856,1.24,689,8605.38,3.8,69.99,9.21
2,2016-01-16,12,Saturday,1,6,4.02,10.88,1.35,11.22,19.84,2337,2.11,1110,14653.49,3.8,70.01,9.82
1,2016-01-16,13,Saturday,1,6,3.91,10.97,1.32,11.84,18.18,1188,1.36,874,11579.42,3.3,70.34,9.52
1,2016-01-16,14,Saturday,1,6,3.87,10.89,1.38,11.56,18.5,1208,1.32,912,12097.85,3.8,69.99,9.86
1,2016-01-16,15,Saturday,1,6,3.92,11.05,1.48,12.01,18.09,1225,1.34,914,12370.49,3.8,70.0,9.69
1,2016-01-16,16,Saturday,1,6,3.93,11.04,1.48,12.06,17.86,1322,1.36,971,13262.23,3.8,70.0,9.82
2,2016-01-16,17,Saturday,1,6,4.04,11.2,1.48,12.54,18.09,2441,2.0,1218,16644.98,3.8,70.01,9.5
2,2016-01-16,19,Saturday,1,6,3.75,10.86,1.39,12.17,17.51,2611,2.02,1294,17032.34,3.3,70.01,8.46
2,2016-01-16,22,Saturday,1,6,4.23,11.56,1.6,12.65,19.09,2349,1.98,1184,17226.1,4.8,70.01,8.92
2,2016-01-16,23,Saturday,1,6,4.32,11.67,1.55,12.76,19.55,2664,2.06,1295,18913.82,4.3,70.01,8.39
2,2016-01-17,1,Sunday,1,7,4.7,11.68,1.6,11.67,22.73,2336,2.05,1142,16710.91,4.3,58.34,8.32
2,2016-01-17,3,Sunday,1,7,5.43,12.66,1.56,11.62,26.23,1463,2.05,714,11126.3,4.3,66.34,9.11
1,2016-01-17,5,Sunday,1,7,7.08,14.99,1.5,11.74,32.01,213,1.29,165,2983.96,4.3,70.0,13.58
1,2016-01-17,6,Sunday,1,7,6.29,13.7,1.47,10.2,31.29,185,1.17,158,2588.02,4.3,69.99,13.92
1,2016-01-17,7,Sunday,1,7,5.35,12.21,1.36,9.31,30.07,296,1.17,253,3745.04,3.8,69.99,12.98
1,2016-01-17,8,Sunday,1,7,3.83,9.65,1.28,8.34,25.38,446,1.18,377,4486.88,3.8,70.01,8.92
2,2016-01-17,10,Sunday,1,7,4.55,11.09,1.4,9.92,24.9,1684,2.12,794,10760.39,3.8,70.01,10.0
1,2016-01-17,11,Sunday,1,7,3.72,10.02,1.31,9.86,21.02,1133,1.35,839,10301.03,3.8,69.99,8.16
